HUMAN RAW AGREEMENT;;;;;;;;;;;
agreement_type;description;count;percentage %;;;;;;;;
full_agreement;All 3 annotators agree;575;60,0;;;;;;;;
partial_agreement;2 out of 3 annotators agree;359;37,4;;;;;;;;
no_majority;All 3 annotators disagree;25;2,6;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ACCURACY GOLD HUMAN LABEL VS. AUTO LABEL - PYSENTIMIENTO;;;;;;;;;;;
metric;value;;;;;;;;;;
total_rows_checked;959;;;;;;;;;;
correct_cases;638;;;;;;;;;;
incorrect_cases;321;;;;;;;;;;
accuracy %;66,53;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ACCURACY BY ENTROPY BAND - PYSENTIMIENTO;;;;;;;;;;;
entropy_band;total_cases;correct_cases;incorrect_cases;accuracy_percent %;;;;;;;
low;331;256;75;77;;;;;;;
mid;316;197;119;62;;;;;;;
high;312;185;127;59;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
PRECISION, RECALL, F1 - PYSENTIMIENTO;;;;;;;;;;;
label;gold_support;auto_predicted;true_positives;false_positives;false_negatives;true_negatives;precision;recall;f1;;
NEG;329;298;235;63;94;567;0,7886;0,7143;0,7496;;
NEU;190;352;134;218;56;551;0,3807;0,7053;0,4945;;
POS;440;309;269;40;171;479;0,8706;0,6114;0,7183;;
;;;;;;;;;;;
MACRO_AVERAGE;;;;;;;0,6799;0,6770;0,6541;;
;;;;;;;;;;;
;;;;;;;;;;;
PRECISION, RECALL, F1 BY ENTROPY BAND SET - PYSENTIMIENTO;;;;;;;;;;;
entropy_band;label;gold_support;auto_predicted;true_positives;false_positives;false_negatives;true_negatives;precision;recall;f1;Macro F1
low;NEG;116;116;100;16;16;199;0,8621;0,8621;0,8621;Low Entropy
low;NEU;62;99;48;51;14;218;0,4848;0,7742;0,5963;0,753772078
low;POS;153;116;108;8;45;170;0,9310;0,7059;0,8030;
mid;NEG;123;98;78;20;45;173;0,7959;0,6341;0,7059;Mid Entropy
mid;NEU;46;121;34;87;12;183;0,2810;0,7391;0,4072;0,603263098
mid;POS;147;97;85;12;62;157;0,8763;0,5782;0,6967;
high;NEG;90;84;57;27;33;195;0,6786;0,6333;0,6552;High Entropy
high;NEU;82;132;52;80;30;150;0,3939;0,6341;0,4860;0,59507384
high;POS;140;96;76;20;64;152;0,7917;0,5429;0,6441;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ACCURACY GOLD HUMAN LABEL VS. AUTO LABEL - CARDIFF;;;;;;;;;;;
metric;value;;;;;;;;;;
total_rows_checked;959;;;;;;;;;;
correct_cases;635;;;;;;;;;;
incorrect_cases;324;;;;;;;;;;
accuracy %;66,21;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
PRECISION, RECALL, F1 - CARDIFF;;;;;;;;;;;
label;gold_support;cardiff_predicted;true_positives;false_positives;false_negatives;true_negatives;precision;recall;f1;;
POS;440;292;250;42;190;477;0,8562;0,5682;0,6831;;
NEU;190;319;127;192;63;577;0,3981;0,6684;0,4990;;
NEG;329;348;258;90;71;540;0,7414;0,7842;0,7622;;
;;;;;;;;;;;
MACRO_AVERAGE;;;;;;;0,6652;0,6736;0,6481;;
;;;;;;;;;;;
;;;;;;;;;;;
ACCURACY BY ENTROPY BAND - CARDIFF;;;;;;;;;;;
entropy_band;total_cases;correct_cases;incorrect_cases;accuracy_percent %;;;;;;;
low;331;249;82;75,23;;;;;;;
mid;316;198;118;62,66;;;;;;;
high;312;188;124;60,26;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
PRECISION, RECALL, F1 BY ENTROPY BAND SET - CARDIFF;;;;;;;;;;;
entropy_band;label;gold_support;auto_predicted;true_positives;false_positives;false_negatives;true_negatives;precision;recall;f1;Macro F1
low;POS;153;109;99;10;54;168;0,9083;0,6471;0,7557;Low Entropy
low;NEU;62;99;50;49;12;220;0,5051;0,8065;0,6211;0,7378
low;NEG;116;123;100;23;16;192;0,8130;0,8621;0,8368;
mid;POS;147;101;84;17;63;152;0,8317;0,5714;0,6774;Mid Entropy
mid;NEU;46;97;28;69;18;201;0,2887;0,6087;0,3916;0,5942
mid;NEG;123;118;86;32;37;161;0,7288;0,6992;0,7137;
high;POS;140;82;67;15;73;157;0,8171;0,4786;0,6036;High Entropy
high;NEU;82;123;49;74;33;156;0,3984;0,5976;0,4780;0,6042
high;NEG;90;107;72;35;18;187;0,6729;0,8000;0,7310;
;;;;;;;;;;;
;;;;;;;;;;;
LLMs:;;;;;;;;;;;
;;;;;;;;;;;
LLM ACCURACY BY ENTROPY - CHAT GPT ;;;;;;;;;;;
set;entropy_band;total_cases;correct_cases;incorrect_cases;accuracy_percent;;;;;;
overall;all;959;831;128;86,65;;;;;;
by_entropy_band;low;331;295;36;89,12;;;;;;
by_entropy_band;mid;316;276;40;87,34;;;;;;
by_entropy_band;high;312;260;52;83,33;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
LLM ACCURACY BY ENTROPY - CLAUDE IA;;;;;;;;;;;
set;entropy_band;total_cases;correct_cases;incorrect_cases;accuracy_percent;;;;;;
overall;all;959;806;153;84,05%;;;;;;
by_entropy_band;low;331;283;48;85,50%;;;;;;
by_entropy_band;mid;316;266;50;84,18%;;;;;;
by_entropy_band;high;312;257;55;82,37%;;;;;;
